utc_iso,local_iso,az_deg,el_deg,az_diff_deg,el_diff_deg,illum_pct
2025-10-24T17:56:34.944729+00:00,,133.687457,5.595182,0.001650,0.502454,9.313685
2025-10-24T17:57:34.944729+00:00,,133.861517,5.722856,0.175711,0.374780,9.317481
2025-11-20T15:54:34.944729+00:00,,133.395971,6.503811,0.289835,0.406175,0.311812
2025-11-20T15:55:34.944729+00:00,,133.572218,6.632585,0.113589,0.534949,0.312297
2025-11-24T19:19:34.944729+00:00,,133.433565,6.509769,0.252242,0.412132,17.749626
2025-11-24T19:20:34.944729+00:00,,133.607434,6.641206,0.078372,0.543569,17.754780
2025-12-21T17:14:34.944729+00:00,,133.561125,5.783679,0.124681,0.313958,2.661854
2025-12-21T17:15:18.944729+00:00,,133.687443,5.879350,0.001637,0.218286,2.663405
2025-12-21T17:15:34.944729+00:00,,133.733424,5.914103,0.047617,0.183533,2.663970
2025-12-21T17:16:34.944729+00:00,,133.906077,6.044253,0.220271,0.053383,2.666086
2026-01-14T12:32:41.944729+00:00,,133.688085,5.569181,0.002279,0.528455,16.705667
2026-01-14T12:33:34.944729+00:00,,133.841696,5.681982,0.155890,0.415654,16.701355
2026-02-10T10:26:34.944729+00:00,,133.410506,6.414813,0.275300,0.317177,41.623093
2026-02-10T10:27:34.944729+00:00,,133.586575,6.543502,0.099232,0.445866,41.616638
2026-02-10T10:28:07.944729+00:00,,133.683563,6.614149,0.002243,0.516513,41.613087
2026-02-14T13:52:34.944729+00:00,,133.377940,6.371531,0.307867,0.273895,8.893027
2026-02-14T13:53:34.944729+00:00,,133.551345,6.502954,0.134462,0.405318,8.889088
2026-02-14T13:54:20.944729+00:00,,133.684520,6.603514,0.001287,0.505877,8.886067
2026-04-06T06:58:34.944729+00:00,,133.416066,5.948465,0.269741,0.149171,83.895393
2026-04-06T06:59:34.944729+00:00,,133.590919,6.076901,0.094888,0.020735,83.890556
2026-04-06T07:00:06.944729+00:00,,133.684301,6.145281,0.001505,0.047645,83.887978
2026-04-06T07:00:34.944729+00:00,,133.766099,6.205044,0.080293,0.107408,83.885719
2026-04-06T07:01:34.944729+00:00,,133.941622,6.332889,0.255815,0.235252,83.880882
2026-05-07T08:15:34.944729+00:00,,133.360277,6.000254,0.325530,0.097382,73.833107
2026-05-07T08:16:34.944729+00:00,,133.533176,6.131410,0.152630,0.033774,73.827301
2026-05-07T08:17:26.944729+00:00,,133.683304,6.244852,0.002503,0.147216,73.822266
2026-05-07T08:18:34.944729+00:00,,133.880013,6.392874,0.194207,0.295237,73.815681
2026-05-31T03:38:34.944729+00:00,,133.740814,5.563489,0.055008,0.534147,99.771027
2026-05-31T03:39:34.944729+00:00,,133.914615,5.691142,0.228809,0.406494,99.771294
2026-06-03T06:11:34.944729+00:00,,133.745773,5.594079,0.059966,0.503557,92.538445
2026-06-03T06:12:34.944729+00:00,,133.917975,5.723866,0.232169,0.373770,92.535011
2026-06-27T01:35:34.944729+00:00,,133.441501,6.130193,0.244305,0.032557,92.257378
2026-06-27T01:36:34.944729+00:00,,133.616737,6.258767,0.069070,0.161131,92.260864
2026-06-27T01:36:57.944729+00:00,,133.684000,6.307975,0.001806,0.210338,92.262207
2026-06-27T01:37:34.944729+00:00,,133.792314,6.387042,0.106507,0.289406,92.264351
2026-07-28T02:54:34.944729+00:00,,133.393977,6.370223,0.291829,0.272587,97.843918
2026-07-28T02:55:34.944729+00:00,,133.567641,6.501604,0.118165,0.403967,97.845840
2026-07-28T02:56:14.944729+00:00,,133.683618,6.589028,0.002188,0.491392,97.847130
2026-08-24T00:46:34.944729+00:00,,133.717072,5.470988,0.031266,0.626648,84.024658
2026-08-24T00:47:34.944729+00:00,,133.888920,5.600731,0.203113,0.496905,84.029533
2026-09-16T20:06:34.944729+00:00,,133.484422,6.386986,0.201384,0.289350,31.247250
2026-09-16T20:07:34.944729+00:00,,133.660259,6.515470,0.025548,0.417834,31.253475
2026-10-17T21:20:34.944729+00:00,,133.487004,6.073882,0.198802,0.023754,42.702106
2026-10-17T21:21:34.944729+00:00,,133.660204,6.204763,0.025602,0.107127,42.708599
2026-10-17T21:22:34.944729+00:00,,133.833746,6.335359,0.147939,0.237722,42.715088
2026-10-17T21:23:34.944729+00:00,,134.007642,6.465662,0.321836,0.368026,42.721581
